"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2002,278,207,67,4,0,0,0,105,68,38,0,0,197,81,0
"Alabama","Clay",2002,277,170,87,17,3,0,0,166,93,45,0,0,184,93,0
"Alabama","Colbert",2002,294,213,66,12,3,0,0,166,84,41,0,24,196,74,0
"Alabama","DeKalb",2002,360,232,101,24,3,0,0,164,93,44,0,0,288,71,1
"Alabama","Elmore",2002,241,176,54,9,2,0,0,164,90,42,0,0,241,0,0
"Alabama","Escambia",2002,119,65,54,0,0,0,0,89,64,48,0,0,0,116,3
"Alabama","Etowah",2002,242,130,91,21,0,0,0,147,97,49,0,0,152,87,3
"Alabama","Houston",2002,111,59,52,0,0,0,0,83,70,49,0,0,0,104,7
"Alabama","Jefferson",2002,365,46,259,49,10,1,0,207,115,68,14,0,68,241,42
"Alabama","Lawrence",2002,273,191,69,13,0,0,0,150,84,41,0,0,199,74,0
"Alabama","Madison",2002,365,252,87,24,2,0,0,166,84,40,0,0,267,82,16
"Alabama","Marengo",2002,58,57,1,0,0,0,0,53,32,17,0,0,0,0,58
"Alabama","Mobile",2002,326,208,102,16,0,0,0,150,80,42,39,0,196,75,16
"Alabama","Montgomery",2002,316,201,104,9,2,0,0,154,80,43,0,0,183,97,36
"Alabama","Morgan",2002,271,159,81,27,4,0,0,174,105,46,0,0,180,90,1
"Alabama","Pike",2002,55,54,1,0,0,0,0,52,29,17,0,0,0,0,55
"Alabama","Russell",2002,105,44,60,1,0,0,0,117,77,55,0,0,0,98,7
"Alabama","Shelby",2002,282,159,91,24,7,1,0,205,105,48,0,0,201,81,0
"Alabama","Sumter",2002,285,215,62,7,1,0,0,179,67,38,0,0,193,92,0
"Alabama","Talladega",2002,117,54,62,1,0,0,0,141,71,52,0,0,0,112,5
"Alabama","Tuscaloosa",2002,252,195,43,12,2,0,0,166,74,40,0,0,240,12,0
"Alabama","Walker",2002,262,187,54,18,3,0,0,166,90,41,0,0,235,27,0
"Alaska","Aleutians East ",2002,119,119,0,0,0,0,0,47,27,11,0,0,0,119,0
"Alaska","Anchorage ",2002,303,259,44,0,0,0,0,76,55,30,125,0,0,78,100
"Alaska","Denali ",2002,347,340,5,2,0,0,0,113,44,33,0,0,333,14,0
"Alaska","Fairbanks North Star ",2002,238,182,51,4,1,0,0,165,67,30,129,0,0,109,0
"Alaska","Juneau ",2002,122,108,14,0,0,0,0,93,54,19,0,0,0,116,6
"Alaska","Kenai Peninsula ",2002,97,97,0,0,0,0,0,29,20,6,0,0,0,97,0
"Alaska","Matanuska-Susitna ",2002,126,111,13,2,0,0,0,112,53,18,0,0,0,114,12
"Arizona","Apache",2002,104,104,0,0,0,0,0,29,20,10,0,0,0,104,0
"Arizona","Cochise",2002,335,226,104,5,0,0,0,129,71,46,0,0,318,7,10
"Arizona","Coconino",2002,359,197,137,25,0,0,0,136,93,49,0,0,355,4,0
"Arizona","Gila",2002,226,90,117,14,5,0,0,164,100,58,0,1,147,65,13
"Arizona","Graham",2002,58,57,1,0,0,0,0,66,37,21,0,0,0,0,58
"Arizona","Maricopa",2002,365,31,245,75,13,1,0,202,122,80,3,102,203,28,29
"Arizona","Mohave",2002,60,50,10,0,0,0,0,99,57,23,0,0,0,28,32
"Arizona","Navajo",2002,171,166,5,0,0,0,0,64,46,32,0,0,84,78,9
"Arizona","Pima",2002,365,198,156,10,1,0,0,161,80,49,1,48,220,36,60
"Arizona","Pinal",2002,365,181,145,38,1,0,0,199,101,51,0,0,335,8,22
"Arizona","Santa Cruz",2002,61,31,29,1,0,0,0,117,76,47,0,0,0,42,19
"Arizona","Yavapai",2002,263,125,107,27,4,0,0,166,105,54,0,0,216,35,12
"Arizona","Yuma",2002,50,35,14,1,0,0,0,108,79,41,0,0,0,0,50
"Arkansas","Arkansas",2002,116,78,37,1,0,0,0,105,68,41,0,0,0,116,0
