"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Autauga",1981,252,187,47,14,4,0,0,195,93,41,0,0,252,0,0
"Alabama","Etowah",1981,188,114,32,26,13,3,0,226,143,44,0,0,188,0,0
"Alabama","Jefferson",1981,365,145,127,53,31,9,0,239,156,64,81,0,284,0,0
"Alabama","Madison",1981,352,251,80,21,0,0,0,150,90,39,0,0,352,0,0
"Alabama","Mobile",1981,362,199,97,48,16,2,0,203,129,48,0,0,362,0,0
"Alabama","Monroe",1981,253,228,23,2,0,0,0,112,50,37,0,0,253,0,0
"Alabama","Morgan",1981,270,198,66,6,0,0,0,122,74,39,0,96,174,0,0
"Alabama","Tuscaloosa",1981,228,169,47,12,0,0,0,140,84,42,0,0,228,0,0
"Alaska","Anchorage ",1981,365,207,123,20,13,2,0,215,99,45,365,0,0,0,0
"Alaska","Fairbanks North Star ",1981,334,228,82,17,6,1,0,202,92,28,334,0,0,0,0
"Alaska","Valdez-Cordova ",1981,362,343,15,2,2,0,0,197,43,29,0,136,226,0,0
"Arizona","Apache",1981,188,188,0,0,0,0,0,17,8,6,0,188,0,0,0
"Arizona","Cochise",1981,301,264,37,0,0,0,0,87,51,34,154,0,147,0,0
"Arizona","Coconino",1981,335,277,54,4,0,0,0,115,58,37,173,0,162,0,0
"Arizona","Greenlee",1981,344,336,8,0,0,0,0,67,44,34,0,0,344,0,0
"Arizona","Maricopa",1981,365,63,180,78,29,15,0,234,161,81,183,14,168,0,0
"Arizona","Pima",1981,365,15,279,70,1,0,0,177,106,80,109,169,87,0,0
"Arizona","Yavapai",1981,286,266,19,1,0,0,0,105,49,36,155,0,131,0,0
"Arizona","Yuma",1981,356,303,42,11,0,0,0,136,61,28,173,0,183,0,0
"Arkansas","Pulaski",1981,365,239,88,37,1,0,0,174,101,43,0,70,295,0,0
"California","Alameda",1981,365,242,95,23,4,1,0,205,90,43,20,232,113,0,0
"California","Butte",1981,365,293,71,1,0,0,0,126,67,33,72,145,148,0,0
"California","Colusa",1981,320,228,55,37,0,0,0,150,101,35,0,0,320,0,0
"California","Contra Costa",1981,365,248,88,21,8,0,0,179,90,44,27,169,169,0,0
"California","El Dorado",1981,365,77,237,42,9,0,0,200,106,71,279,1,85,0,0
"California","Fresno",1981,365,92,131,70,48,24,0,222,182,79,66,84,215,0,0
"California","Glenn",1981,318,242,67,9,0,0,0,143,84,32,0,0,318,0,0
"California","Imperial",1981,316,187,96,28,4,1,0,205,101,46,0,0,316,0,0
"California","Inyo",1981,198,171,25,2,0,0,0,108,54,38,0,0,198,0,0
"California","Kern",1981,365,99,137,55,45,29,0,245,190,74,12,185,168,0,0
"California","Kings",1981,318,259,55,4,0,0,0,143,67,34,0,0,318,0,0
"California","Lake",1981,354,347,7,0,0,0,0,67,44,28,6,12,336,0,0
"California","Los Angeles",1981,365,4,56,99,46,160,0,300,268,176,71,92,202,0,0
"California","Madera",1981,133,27,37,48,20,1,0,213,164,101,0,0,133,0,0
"California","Marin",1981,365,329,34,2,0,0,0,112,50,38,40,284,41,0,0
"California","Mendocino",1981,359,351,8,0,0,0,0,74,37,19,0,0,359,0,0
"California","Mono",1981,284,276,8,0,0,0,0,70,35,11,284,0,0,0,0
"California","Monterey",1981,365,342,23,0,0,0,0,100,47,37,1,137,227,0,0
"California","Napa",1981,364,325,39,0,0,0,0,90,52,34,53,132,179,0,0
"California","Orange",1981,365,55,136,109,28,37,0,289,201,100,19,202,144,0,0
"California","Placer",1981,365,240,46,39,36,4,0,213,151,40,0,0,365,0,0
"California","Riverside",1981,365,35,82,80,40,128,0,300,253,136,4,128,233,0,0
"California","Sacramento",1981,365,144,141,41,28,11,0,239,154,58,62,135,168,0,0
"California","San Benito",1981,365,300,49,12,2,2,0,208,71,37,0,52,313,0,0
"California","San Bernardino",1981,365,26,88,68,23,160,0,300,284,151,4,120,241,0,0
"California","San Diego",1981,365,43,104,93,75,50,0,274,203,116,12,82,271,0,0
"California","San Francisco",1981,365,282,80,3,0,0,0,103,68,38,134,221,10,0,0
"California","San Joaquin",1981,365,241,88,23,12,1,0,213,100,42,9,187,169,0,0
"California","San Luis Obispo",1981,365,276,76,13,0,0,0,140,71,42,5,117,243,0,0
"California","San Mateo",1981,365,346,18,0,1,0,0,154,47,28,87,114,164,0,0
"California","Santa Barbara",1981,365,140,185,33,5,2,0,235,101,58,55,66,244,0,0
"California","Santa Clara",1981,365,220,102,26,15,2,0,219,108,44,114,0,251,0,0
"California","Santa Cruz",1981,365,329,31,5,0,0,0,133,49,35,0,19,346,0,0
"California","Shasta",1981,335,257,35,24,19,0,0,187,119,35,0,0,335,0,0
"California","Siskiyou",1981,141,138,3,0,0,0,0,58,43,28,0,0,141,0,0
"California","Solano",1981,365,288,68,8,1,0,0,151,68,38,42,131,192,0,0
"California","Sonoma",1981,365,328,37,0,0,0,0,89,51,38,29,135,201,0,0
"California","Stanislaus",1981,365,178,121,41,20,5,0,222,133,54,22,184,159,0,0
"California","Sutter",1981,59,52,5,2,0,0,0,122,54,26,0,0,59,0,0
"California","Tulare",1981,365,160,112,61,30,2,0,203,150,57,15,152,198,0,0
"California","Tuolumne",1981,299,23,232,39,4,1,0,204,115,71,299,0,0,0,0
